"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U1_16","SMD_QFN50P800X800X80-69N_-_HAMMER","-75mm","75mm","-75mm","75mm","-78.2mm","71mm","T","90.00","Hammer"
"U1_15","SMD_QFN50P800X800X80-69N_-_HAMMER","-75mm","55mm","-75mm","55mm","-78.2mm","51mm","T","90.00","Hammer"
"U1_14","SMD_QFN50P800X800X80-69N_-_HAMMER","-75mm","35mm","-75mm","35mm","-78.2mm","31mm","T","90.00","Hammer"
"U1_13","SMD_QFN50P800X800X80-69N_-_HAMMER","-75mm","15mm","-75mm","15mm","-78.2mm","11mm","T","90.00","Hammer"
"U1_12","SMD_QFN50P800X800X80-69N_-_HAMMER","-55mm","15mm","-55mm","15mm","-51.8mm","19mm","T","270.00","Hammer"
"U1_11","SMD_QFN50P800X800X80-69N_-_HAMMER","-55mm","35mm","-55mm","35mm","-51.8mm","39mm","T","270.00","Hammer"
"U1_10","SMD_QFN50P800X800X80-69N_-_HAMMER","-55mm","55mm","-55mm","55mm","-51.8mm","59mm","T","270.00","Hammer"
"U1_9","SMD_QFN50P800X800X80-69N_-_HAMMER","-55mm","75mm","-55mm","75mm","-51.8mm","79mm","T","270.00","Hammer"
"U1_8","SMD_QFN50P800X800X80-69N_-_HAMMER","-35mm","75mm","-35mm","75mm","-38.2mm","71mm","T","90.00","Hammer"
"U1_7","SMD_QFN50P800X800X80-69N_-_HAMMER","-35mm","55mm","-35mm","55mm","-38.2mm","51mm","T","90.00","Hammer"
"U1_6","SMD_QFN50P800X800X80-69N_-_HAMMER","-35mm","35mm","-35mm","35mm","-38.2mm","31mm","T","90.00","Hammer"
"U1_5","SMD_QFN50P800X800X80-69N_-_HAMMER","-35mm","15mm","-35mm","15mm","-38.2mm","11mm","T","90.00","Hammer"
"U1_4","SMD_QFN50P800X800X80-69N_-_HAMMER","-15mm","15mm","-15mm","15mm","-11.8mm","19mm","T","270.00","Hammer"
"U1_3","SMD_QFN50P800X800X80-69N_-_HAMMER","-15mm","35mm","-15mm","35mm","-11.8mm","39mm","T","270.00","Hammer"
"U1_2","SMD_QFN50P800X800X80-69N_-_HAMMER","-15mm","55mm","-15mm","55mm","-11.8mm","59mm","T","270.00","Hammer"
"U1_1","SMD_QFN50P800X800X80-69N_-_HAMMER","-15mm","75mm","-15mm","75mm","-11.8mm","79mm","T","270.00","Hammer"
"C16_16","SMD_0603_CAPC1608X80N","-67mm","71.25mm","-67mm","71.25mm","-66.2mm","71.25mm","T","180.00","470nF"
"C16_15","SMD_0603_CAPC1608X80N","-84.75mm","50.25mm","-84.75mm","50.25mm","-85.55mm","50.25mm","T","360.00","470nF"
"C16_14","SMD_0603_CAPC1608X80N","-67mm","37.25mm","-67mm","37.25mm","-66.2mm","37.25mm","T","180.00","470nF"
"C16_13","SMD_0603_CAPC1608X80N","-84.75mm","11.75mm","-84.75mm","11.75mm","-85.55mm","11.75mm","T","360.00","470nF"
"C16_12","SMD_0603_CAPC1608X80N","-52.25mm","7mm","-52.25mm","7mm","-52.25mm","6.2mm","T","90.00","470nF"
"C16_11","SMD_0603_CAPC1608X80N","-47mm","38.75mm","-47mm","38.75mm","-46.2mm","38.75mm","T","180.00","470nF"
"C16_10","SMD_0603_CAPC1608X80N","-63mm","52.75mm","-63mm","52.75mm","-63.8mm","52.75mm","T","360.00","470nF"
"C16_9","SMD_0603_CAPC1608X80N","-52.25mm","67mm","-52.25mm","67mm","-52.25mm","66.2mm","T","90.00","470nF"
"C16_8","SMD_0603_CAPC1608X80N","-37.75mm","83mm","-37.75mm","83mm","-37.75mm","83.8mm","T","270.00","470nF"
"C16_7","SMD_0603_CAPC1608X80N","-36.25mm","47mm","-36.25mm","47mm","-36.25mm","46.2mm","T","90.00","470nF"
"C16_6","SMD_0603_CAPC1608X80N","-43mm","32.75mm","-43mm","32.75mm","-43.8mm","32.75mm","T","360.00","470nF"
"C16_5","SMD_0603_CAPC1608X80N","-43mm","18.75mm","-43mm","18.75mm","-43.8mm","18.75mm","T","360.00","470nF"
"C16_4","SMD_0603_CAPC1608X80N","-23mm","12.75mm","-23mm","12.75mm","-23.8mm","12.75mm","T","360.00","470nF"
"C16_3","SMD_0603_CAPC1608X80N","-23mm","35.75mm","-23mm","35.75mm","-23.8mm","35.75mm","T","360.00","470nF"
"C16_2","SMD_0603_CAPC1608X80N","-5mm","50.25mm","-5mm","50.25mm","-4.2mm","50.25mm","T","180.00","470nF"
"C16_1","SMD_0603_CAPC1608X80N","-4.9999mm","79.7501mm","-4.9999mm","79.7501mm","-4.1999mm","79.7501mm","T","180.00","470nF"
"C15_16","SMD_0603_CAPC1608X80N","-77.75mm","83mm","-77.75mm","83mm","-77.75mm","83.8mm","T","270.00","470nF"
"C15_15","SMD_0603_CAPC1608X80N","-84.75mm","51.75mm","-84.75mm","51.75mm","-85.55mm","51.75mm","T","360.00","470nF"
"C15_14","SMD_0603_CAPC1608X80N","-67mm","35.75mm","-67mm","35.75mm","-66.2mm","35.75mm","T","180.00","470nF"
"C15_13","SMD_0603_CAPC1608X80N","-84.75mm","14.25mm","-84.75mm","14.25mm","-85.55mm","14.25mm","T","360.00","470nF"
"C15_12","SMD_0603_CAPC1608X80N","-53.75mm","7mm","-53.75mm","7mm","-53.75mm","6.2mm","T","90.00","470nF"
"C15_11","SMD_0603_CAPC1608X80N","-47mm","37.25mm","-47mm","37.25mm","-46.2mm","37.25mm","T","180.00","470nF"
"C15_10","SMD_0603_CAPC1608X80N","-63mm","54.25mm","-63mm","54.25mm","-63.8mm","54.25mm","T","360.00","470nF"
"C15_9","SMD_0603_CAPC1608X80N","-53.7501mm","67mm","-53.7501mm","67mm","-53.7501mm","66.2mm","T","90.00","470nF"
"C15_8","SMD_0603_CAPC1608X80N","-36.25mm","83mm","-36.25mm","83mm","-36.25mm","83.8mm","T","270.00","470nF"
"C15_7","SMD_0603_CAPC1608X80N","-37.75mm","47mm","-37.75mm","47mm","-37.75mm","46.2mm","T","90.00","470nF"
"C15_6","SMD_0603_CAPC1608X80N","-43mm","34.25mm","-43mm","34.25mm","-43.8mm","34.25mm","T","360.00","470nF"
"C15_5","SMD_0603_CAPC1608X80N","-36.25mm","7mm","-36.25mm","7mm","-36.25mm","6.2mm","T","90.00","470nF"
"C15_4","SMD_0603_CAPC1608X80N","-23mm","14.25mm","-23mm","14.25mm","-23.8mm","14.25mm","T","360.00","470nF"
"C15_3","SMD_0603_CAPC1608X80N","-5mm","39.7497mm","-5mm","39.7497mm","-4.2mm","39.7497mm","T","180.00","470nF"
"C15_2","SMD_0603_CAPC1608X80N","-13.75mm","63mm","-13.75mm","63mm","-13.75mm","63.8mm","T","270.00","470nF"
"C15_1","SMD_0603_CAPC1608X80N","-4.9999mm","78.2501mm","-4.9999mm","78.2501mm","-4.1999mm","78.2501mm","T","180.00","470nF"
"C14_16","SMD_0603_CAPC1608X80N","-76.25mm","83mm","-76.25mm","83mm","-76.25mm","83.8mm","T","270.00","470nF"
"C14_15","SMD_0603_CAPC1608X80N","-84.75mm","54.25mm","-84.75mm","54.25mm","-85.55mm","54.25mm","T","360.00","470nF"
"C14_14","SMD_0603_CAPC1608X80N","-67mm","34.25mm","-67mm","34.25mm","-66.2mm","34.25mm","T","180.00","470nF"
"C14_13","SMD_0603_CAPC1608X80N","-84.75mm","15.75mm","-84.75mm","15.75mm","-85.55mm","15.75mm","T","360.00","470nF"
"C14_12","SMD_0603_CAPC1608X80N","-53.75mm","23mm","-53.75mm","23mm","-53.75mm","23.8mm","T","270.00","470nF"
"C14_11","SMD_0603_CAPC1608X80N","-47mm","35.75mm","-47mm","35.75mm","-46.2mm","35.75mm","T","180.00","470nF"
"C14_10","SMD_0603_CAPC1608X80N","-63mm","55.75mm","-63mm","55.75mm","-63.8mm","55.75mm","T","360.00","470nF"
"C14_9","SMD_0603_CAPC1608X80N","-53.75mm","83mm","-53.75mm","83mm","-53.75mm","83.8mm","T","270.00","470nF"
"C14_8","SMD_0603_CAPC1608X80N","-36.25mm","67mm","-36.25mm","67mm","-36.25mm","66.2mm","T","90.00","470nF"
"C14_7","SMD_0603_CAPC1608X80N","-37.7501mm","63mm","-37.7501mm","63mm","-37.7501mm","63.8mm","T","270.00","470nF"
"C14_6","SMD_0603_CAPC1608X80N","-43mm","35.75mm","-43mm","35.75mm","-43.8mm","35.75mm","T","360.00","470nF"
"C14_5","SMD_0603_CAPC1608X80N","-37.75mm","7mm","-37.75mm","7mm","-37.75mm","6.2mm","T","90.00","470nF"
"C14_4","SMD_0603_CAPC1608X80N","-23mm","15.75mm","-23mm","15.75mm","-23.8mm","15.75mm","T","360.00","470nF"
"C14_3","SMD_0603_CAPC1608X80N","-5mm","38.2497mm","-5mm","38.2497mm","-4.2mm","38.2497mm","T","180.00","470nF"
"C14_2","SMD_0603_CAPC1608X80N","-12.25mm","63mm","-12.25mm","63mm","-12.25mm","63.8mm","T","270.00","470nF"
"C14_1","SMD_0603_CAPC1608X80N","-5mm","75.75mm","-5mm","75.75mm","-4.2mm","75.75mm","T","180.00","470nF"
"C13_16","SMD_0603_CAPC1608X80N","-76.25mm","67mm","-76.25mm","67mm","-76.25mm","66.2mm","T","90.00","470nF"
"C13_15","SMD_0603_CAPC1608X80N","-84.75mm","55.75mm","-84.75mm","55.75mm","-85.55mm","55.75mm","T","360.00","470nF"
"C13_14","SMD_0603_CAPC1608X80N","-67mm","32.75mm","-67mm","32.75mm","-66.2mm","32.75mm","T","180.00","470nF"
"C13_13","SMD_0603_CAPC1608X80N","-84.75mm","18.25mm","-84.75mm","18.25mm","-85.55mm","18.25mm","T","360.00","470nF"
"C13_12","SMD_0603_CAPC1608X80N","-52.25mm","23mm","-52.25mm","23mm","-52.25mm","23.8mm","T","270.00","470nF"
"C13_11","SMD_0603_CAPC1608X80N","-47mm","34.25mm","-47mm","34.25mm","-46.2mm","34.25mm","T","180.00","470nF"
"C13_10","SMD_0603_CAPC1608X80N","-63mm","57.25mm","-63mm","57.25mm","-63.8mm","57.25mm","T","360.00","470nF"
"C13_9","SMD_0603_CAPC1608X80N","-52.25mm","83mm","-52.25mm","83mm","-52.25mm","83.8mm","T","270.00","470nF"
"C13_8","SMD_0603_CAPC1608X80N","-37.7499mm","67mm","-37.7499mm","67mm","-37.7499mm","66.2mm","T","90.00","470nF"
"C13_7","SMD_0603_CAPC1608X80N","-36.25mm","63mm","-36.25mm","63mm","-36.25mm","63.8mm","T","270.00","470nF"
"C13_6","SMD_0603_CAPC1608X80N","-43mm","37.25mm","-43mm","37.25mm","-43.8mm","37.25mm","T","360.00","470nF"
"C13_5","SMD_0603_CAPC1608X80N","-37.75mm","23mm","-37.75mm","23mm","-37.75mm","23.8mm","T","270.00","470nF"
"C13_4","SMD_0603_CAPC1608X80N","-23mm","17.25mm","-23mm","17.25mm","-23.8mm","17.25mm","T","360.00","470nF"
"C13_3","SMD_0603_CAPC1608X80N","-13.7505mm","43.0001mm","-13.7505mm","43.0001mm","-13.7505mm","43.8001mm","T","270.00","470nF"
"C13_2","SMD_0603_CAPC1608X80N","-12.25mm","47mm","-12.25mm","47mm","-12.25mm","46.2mm","T","90.00","470nF"
"C13_1","SMD_0603_CAPC1608X80N","-5mm","74.25mm","-5mm","74.25mm","-4.2mm","74.25mm","T","180.00","470nF"
"C12_16","SMD_0603_CAPC1608X80N","-77.7501mm","67mm","-77.7501mm","67mm","-77.7501mm","66.2mm","T","90.00","470nF"
"C12_15","SMD_0603_CAPC1608X80N","-84.75mm","58.25mm","-84.75mm","58.25mm","-85.55mm","58.25mm","T","360.00","470nF"
"C12_14","SMD_0603_CAPC1608X80N","-67mm","31.25mm","-67mm","31.25mm","-66.2mm","31.25mm","T","180.00","470nF"
"C12_13","SMD_0603_CAPC1608X80N","-84.75mm","19.75mm","-84.75mm","19.75mm","-85.55mm","19.75mm","T","360.00","470nF"
"C12_12","SMD_0603_CAPC1608X80N","-47mm","11.25mm","-47mm","11.25mm","-46.2mm","11.25mm","T","180.00","470nF"
"C12_11","SMD_0603_CAPC1608X80N","-47mm","32.75mm","-47mm","32.75mm","-46.2mm","32.75mm","T","180.00","470nF"
"C12_10","SMD_0603_CAPC1608X80N","-63mm","51.25mm","-63mm","51.25mm","-63.8mm","51.25mm","T","360.00","470nF"
"C12_9","SMD_0603_CAPC1608X80N","-47mm","78.75mm","-47mm","78.75mm","-46.2mm","78.75mm","T","180.00","470nF"
"C12_8","SMD_0603_CAPC1608X80N","-43mm","71.25mm","-43mm","71.25mm","-43.8mm","71.25mm","T","360.00","470nF"
"C12_7","SMD_0603_CAPC1608X80N","-43mm","51.25mm","-43mm","51.25mm","-43.8mm","51.25mm","T","360.00","470nF"
"C12_6","SMD_0603_CAPC1608X80N","-43mm","38.75mm","-43mm","38.75mm","-43.8mm","38.75mm","T","360.00","470nF"
"C12_5","SMD_0603_CAPC1608X80N","-36.2497mm","23mm","-36.2497mm","23mm","-36.2497mm","23.8mm","T","270.00","470nF"
"C12_4","SMD_0603_CAPC1608X80N","-23mm","18.75mm","-23mm","18.75mm","-23.8mm","18.75mm","T","360.00","470nF"
"C12_3","SMD_0603_CAPC1608X80N","-12.2503mm","43mm","-12.2503mm","43mm","-12.2503mm","43.8mm","T","270.00","470nF"
"C12_2","SMD_0603_CAPC1608X80N","-13.75mm","47mm","-13.75mm","47mm","-13.75mm","46.2mm","T","90.00","470nF"
"C12_1","SMD_0603_CAPC1608X80N","-5mm","71.75mm","-5mm","71.75mm","-4.2mm","71.75mm","T","180.00","470nF"
